estimate_number,estimate_date,customer_name,salesperson,estimate_subtotal,estimate_status,estimate_zoho_id,salesorder_number,salesorder_date,salesorder_status,salesorder_subtotal,so_dead_cost_total,so_dead_profit,so_profit,so_salesperson,salesorder_zoho_id,package_count,package_numbers,package_carriers,package_tracking_numbers,package_statuses,package_total_shipping_charge,po_count,dropship_count,po_vendors,dropship_vendors,po_statuses,po_total_cost,invoice_number,invoice_date,invoice_due_date,invoice_status,invoice_subtotal,invoice_dead_cost_total,invoice_dead_profit,invoice_profit,invoice_vig_rate,invoice_margin_pct,invoice_commission,invoice_balance,invoice_cc_fees,invoice_actual_shipping_cost,is_written_off,written_off_date,paid_in_full_date,invoice_zoho_id,payment_count,total_payments_received,payment_modes,last_payment_date
,,CREATIVE DESIGN CONCEPTS,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,9989,2025-06-13,2025-07-13,paid,4999.75,1652.00,3065.55,2627.16,1.00,,1050.86,0.00,224.99,181.82,,,,1254360000027087260,1,5644.05,AUTHORIZE.NET,2025-06-13
,,ELEVATED PAVER SYSTEMS,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,9988,2025-06-13,2025-07-13,paid,2159.76,1463.12,573.60,220.51,1.00,,88.21,0.00,97.19,115.32,,,,1254360000027087001,1,2460.82,AUTHORIZE.NET,2025-06-13
EST-7364,2026-07-13,M&E MASONRY & SONS,MONTGOMERY MORGAN,1612.44,invoiced,1254360000026871007,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9986,2025-06-12,2025-08-11,paid,1499.94,477.21,1022.73,915.57,1.00,68.18,366.23,0.00,0.00,58.31,,,21 Jul 2025,1254360000027050847,1,1670.75,CHECK,2025-07-21
,,"DJO CONTRACTORS, LLC",RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,9985,2025-06-12,2025-07-27,paid,399.75,169.25,230.50,203.72,1.30,,81.49,449.25,,16.52,,,,1254360000027050724,0,0.00,,
,,**** DNR ****SCULPTURE HARDSCAPES,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,9984,2025-06-12,2025-09-21,void,3000.00,2543.50,456.50,456.50,1.00,,228.25,3389.94,,0.00,,,,1254360000027050563,0,0.00,,
EST-7358,2026-07-13,WILLIAMSON CONCRETE CONSTRUCTION,MONTGOMERY MORGAN,2999.85,invoiced,1254360000026829175,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9983,2025-06-12,2025-08-28,paid,2999.85,2174.63,825.22,574.83,1.00,27.51,229.93,0.00,0.00,,,,26 Jul 2025,1254360000027050461,1,3133.42,CHECK,2025-07-26
EST-7357,2026-07-13,TREMENDOUS STONE LLC,MONTGOMERY MORGAN,1399.72,invoiced,1254360000026829139,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9982,2025-06-12,2025-07-12,paid,1249.75,543.25,627.67,543.52,1.00,50.22,217.41,0.00,0.00,,,,14 Jul 2025,1254360000027050421,1,1576.54,Venmo,2025-07-14
,,MP CONTRACTING,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,9981,2025-06-12,2025-07-12,paid,4099.92,2195.45,1904.47,1356.97,1.00,,542.79,0.00,184.50,0.00,,,,1254360000027050216,1,4284.42,AUTHORIZE.NET,2025-07-21
EST-7354,2026-07-13,PATTERSON ENTERPRISES,ROSS HAISLER,0.00,invoiced,1254360000026364009,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9980,2025-06-05,2025-07-05,paid,0.00,90.08,-90.08,-117.10,1.30,0.00,-58.55,0.00,0.00,,,,,1254360000026373713,0,0.00,,
EST-7347,2026-07-13,ANTIETAM PAVING,RICHARD GRIFFIN,419.94,invoiced,1254360000026320017,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9979,2025-06-05,2025-07-05,paid,419.94,272.00,147.94,72.34,1.30,17.23,28.94,0.00,0.00,,,,27 Jun 2025,1254360000026373658,1,477.70,CHECK,2025-06-27
EST-7329,2026-07-13,"RUSS BERNER CONSTRUCTION, INC",MONTGOMERY MORGAN,3190.18,invoiced,1254360000026246394,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9978,2025-06-05,2025-07-05,paid,2999.70,2800.00,199.70,-178.30,1.00,6.66,-89.15,0.00,0.00,,,,30 Jun 2025,1254360000026373352,1,3455.45,CHECK,2025-06-30
,,K&L FOUNDATIONS INC.,RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,9977,2025-06-05,2025-07-10,paid,299.70,182.60,117.10,68.32,1.30,,27.33,0.00,0.00,136.53,,,,1254360000026373177,1,461.70,CHECK,2025-08-04
EST-7352,2026-07-13,H CONSTRUCTION LLC,RICHARD GRIFFIN,999.00,invoiced,1254360000026365001,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9976,2025-06-05,2025-07-05,paid,999.00,577.68,364.51,257.86,1.30,24.63,103.15,0.00,44.95,,,,27 Jul 2025,1254360000026373058,1,1136.28,AUTHORIZE.NET,2025-07-27
,,JP PLAYGROUNDS INC.,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,9975,2025-06-05,2025-07-05,paid,680.88,220.40,422.28,369.72,1.30,,147.89,0.00,30.64,25.24,,,,1254360000026373014,1,763.99,AUTHORIZE.NET,2025-06-23
,,DIAMOND D CONCRETE,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,9974,2025-06-05,2025-07-05,paid,419.94,130.38,289.56,250.45,1.30,,100.18,0.00,0.00,53.24,,,,1254360000026366919,1,512.02,CHECK,2025-07-08
EST-7346,2026-07-13,JM MASONRY,RICHARD GRIFFIN,1051.56,invoiced,1254360000026320001,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9973,2025-06-05,2025-07-05,paid,989.70,294.80,638.69,567.92,1.30,56.20,227.17,0.00,44.54,,,,22 Jul 2025,1254360000026366750,1,1124.28,AUTHORIZE.NET,2025-07-22
EST-7339,2026-07-13,ARTISTIC GARDENS,ROSS HAISLER,3258.42,invoiced,1254360000026253029,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9972,2025-06-05,2025-07-05,paid,2999.70,1881.22,1118.48,922.91,1.30,30.77,369.16,0.00,0.00,,,,21 Aug 2025,1254360000026366689,1,3450.73,CHECK,2025-08-21
,,RACANELLI REBAR,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,9971,2025-06-05,2025-07-05,paid,129.99,61.14,60.69,50.66,1.30,,20.26,0.00,5.85,23.70,,,,1254360000026366583,1,163.11,AUTHORIZE.NET,2025-07-04
,,TREASURE VALLEY EXCAVATION CORP,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,9970,2025-06-05,2025-07-05,paid,239.96,86.92,153.04,116.17,1.30,,46.47,0.00,10.80,29.87,,,,1254360000026366541,1,269.83,AUTHORIZE.NET,2025-07-09
,,SNYDER & SONS LANDSCAPES,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,9969,2025-06-05,2025-07-05,paid,4749.50,3543.61,937.32,519.66,1.00,,207.86,0.00,213.73,221.11,,,,1254360000026366408,1,5371.47,AUTHORIZE.NET,2025-10-10
EST-7348,2026-07-13,STEVEN DUBNER LANDSCAPING,MONTGOMERY MORGAN,3499.30,invoiced,1254360000026334001,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9968,2025-06-05,2025-07-05,paid,3499.30,1513.50,1791.32,1374.28,1.00,51.19,549.71,0.00,157.47,,,,05 Jun 2025,1254360000026366213,1,3889.62,AUTHORIZE.NET,2025-06-05
,,DEAL CONCRETE CORP,RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,9967,2025-06-05,2025-07-05,paid,11299.63,4014.78,6712.37,5613.93,1.30,,2245.57,0.00,508.48,150.00,,,,1254360000026366083,1,11449.63,AUTHORIZE.NET,2025-07-11
EST-7336,2026-07-13,P.M. GALLAGER INC.,MONTGOMERY MORGAN,3377.27,invoiced,1254360000026246770,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9966,2025-06-05,2025-08-29,paid,3119.88,2390.20,550.60,334.23,1.00,17.65,133.69,0.00,140.39,,,,03 Sep 2025,1254360000026355964,1,3581.58,AUTHORIZE.NET,2025-09-03
EST-7335,2026-07-13,CREATIVE CONCRETE JAMCO,MONTGOMERY MORGAN,2159.78,invoiced,1254360000026246727,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9965,2025-06-05,2025-07-05,paid,1999.80,1854.60,145.20,14.82,1.00,7.26,7.41,0.00,0.00,,,,04 Aug 2025,1254360000026355895,1,2378.30,CHECK,2025-08-04
EST-7334,2026-07-13,WESTABY TRUCKING,MONTGOMERY MORGAN,2597.87,invoiced,1254360000026246694,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9964,2025-06-05,2025-07-05,paid,2399.88,749.52,1650.36,1455.50,1.00,68.77,727.75,0.00,0.00,,,,30 Jun 2025,1254360000026355818,1,2737.99,CHECK,2025-06-30
EST-7332,2026-07-13,NORTHWEST HORIZON CONSTRUCTION INC.,MONTGOMERY MORGAN,0.00,invoiced,1254360000026248602,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9963,2025-06-05,2025-07-05,paid,0.00,120.00,-120.00,-120.00,1.00,0.00,-60.00,0.00,0.00,,,,,1254360000026355789,0,0.00,,
EST-7331,2026-07-13,KOETTER CONSTRUCTION,MONTGOMERY MORGAN,2999.85,invoiced,1254360000026248556,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9962,2025-06-05,2025-07-05,paid,2999.85,2312.76,687.09,455.26,1.00,22.90,227.63,0.00,0.00,,,,01 Jul 2025,1254360000026355685,1,2999.85,CHECK,2025-07-01
EST-7330,2026-07-13,MCVAN DEVELOPMENT,MONTGOMERY MORGAN,3307.17,invoiced,1254360000026246459,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9961,2025-06-05,2025-07-05,paid,2999.70,2314.32,685.38,266.89,1.00,22.85,133.45,0.00,134.99,182.43,,,,1254360000026355556,3,3607.73,Authorize.Net,2026-06-24
EST-7326,2026-07-13,WOLF LANDSCAPE,ROSS HAISLER,3232.49,invoiced,1254360000026246245,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9960,2025-06-05,2025-07-05,paid,2999.99,1995.72,833.98,681.35,1.30,21.54,340.68,0.00,135.00,173.23,,,22 Jul 2025,1254360000026355441,1,3405.72,AUTHORIZE.NET,2025-07-22
,,BUCK'S CONCRETE & PAVERS,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,9959,2025-06-05,2025-06-05,paid,2699.70,2191.90,507.80,312.23,1.00,,156.11,0.00,0.00,259.33,,,,1254360000026355345,1,2959.03,CHECK,2025-11-15
EST-7327,2026-07-13,CONCRETE PRO,MONTGOMERY MORGAN,3247.18,invoiced,1254360000026246290,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9958,2025-06-05,2025-07-05,paid,2999.70,2090.33,736.58,558.08,1.00,24.56,279.04,0.00,134.99,208.57,,,10 Jul 2025,1254360000026355195,1,3455.75,AUTHORIZE.NET,2025-07-10
EST-7323,2026-07-13,POLOS MASONRY CONSTRUCTION,MONTGOMERY MORGAN,1948.40,invoiced,1254360000026185108,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9957,2025-06-05,2025-07-05,overdue,1799.91,339.57,1460.34,1460.34,1.00,81.13,730.17,2041.83,0.00,93.43,,,30 Oct 2025,1254360000026355140,0,0.00,,
EST-7322,2026-07-13,PAYNE CUSTOM CONCRETE,ROSS HAISLER,431.18,invoiced,1254360000026183001,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9956,2025-06-05,2025-07-05,paid,399.98,100.68,299.30,269.10,1.30,67.28,134.55,0.00,0.00,30.52,,,12 Jul 2025,1254360000026355060,1,461.70,CHECK,2025-07-12
EST-7337,2026-07-13,SHALOM MASONRY,RICHARD GRIFFIN,5629.00,invoiced,1254360000026257013,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9955,2025-06-03,2025-07-03,paid,5200.00,3261.50,1657.05,738.05,1.30,13.28,369.03,0.00,234.00,0.00,,,10 Jun 2025,1254360000026257428,4,5629.00,AUTHORIZE.NET,2025-06-10
EST-7340,2026-07-13,MUNOZ TILE,MONTGOMERY MORGAN,3307.37,invoiced,1254360000026257270,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9954,2025-06-03,2025-07-03,paid,2999.88,1907.76,1092.12,519.79,1.00,36.41,259.90,0.00,0.00,171.42,,,26 Aug 2025,1254360000026275273,2,3478.79,CHECK,2025-08-26
EST-7342,2026-07-13,VEASLEY'S PAVING SERVICES INC.,MONTGOMERY MORGAN,1813.31,invoiced,1254360000026257300,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9953,2025-06-03,2025-07-07,paid,1659.78,900.08,759.70,489.68,1.00,45.77,244.84,0.00,0.00,184.34,,,21 Jul 2025,1254360000026275206,1,1997.65,CHECK,2025-07-21
,,VEASLEY'S PAVING SERVICES INC.,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,9952,2025-06-03,2025-07-03,paid,519.96,306.96,213.00,120.91,1.00,,60.46,0.00,0.00,175.72,,,,1254360000026275125,1,743.78,CHECK,2025-07-21
EST-7320,2026-07-13,WILD DESERT LANDSCAPING,MONTGOMERY MORGAN,3300.00,invoiced,1254360000026163012,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9951,2025-05-27,2025-06-26,paid,3300.00,2542.34,592.66,298.65,1.00,17.96,149.33,0.00,148.50,0.00,,,11 Jul 2025,1254360000026156320,1,3300.00,AUTHORIZE.NET,2025-07-11
EST-7319,2026-07-13,NORTHWEST CONCRETE CONSTRUCTION INC,ROSS HAISLER,575.37,invoiced,1254360000026113001,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9950,2025-05-23,2025-06-22,paid,575.37,235.60,308.57,249.20,1.30,42.39,124.60,0.00,25.89,48.63,,,22 Jul 2025,1254360000026125961,1,624.00,AUTHORIZE.NET,2025-07-22
EST-7317,2026-07-13,CRETE INDUSTRIAL SERVICES,ROSS HAISLER,2029.62,invoiced,1254360000026071085,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9949,2025-05-23,2025-07-15,paid,2029.62,756.78,1167.70,960.47,1.30,46.64,480.24,0.00,91.33,,,,04 Sep 2025,1254360000026125853,2,2102.86,AUTHORIZE.NET,2025-09-04
EST-7316,2026-07-13,BLACKWOOD EXCAVATION,ROSS HAISLER,185.00,invoiced,1254360000026071069,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9948,2025-05-23,2025-07-06,paid,185.00,50.34,124.35,111.23,1.30,59.05,55.62,0.00,8.32,,,,05 Aug 2025,1254360000026125733,1,206.27,AUTHORIZE.NET,2025-08-05
EST-7314,2026-07-13,ALL COUNTY FLOORING,ROSS HAISLER,1436.99,invoiced,1254360000026071047,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9947,2025-05-23,2025-06-22,paid,1327.47,551.20,701.29,563.17,1.30,41.28,281.59,0.00,59.74,,,,05 Jun 2025,1254360000026125658,1,1499.67,AUTHORIZE.NET,2025-06-05
EST-7312,2026-07-13,ROMERO CONCRETE,ROSS HAISLER,5648.66,invoiced,1254360000026071005,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9946,2025-05-23,2025-06-22,paid,5648.66,2753.60,2605.44,1826.79,1.30,31.71,913.40,0.00,254.19,,,,10 Jul 2025,1254360000026125475,1,5792.47,AUTHORIZE.NET,2025-07-10
EST-7318,2026-07-13,AGUILAR CONSTRUCTION LLC,MONTGOMERY MORGAN,12418.11,invoiced,1254360000026092052,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9945,2025-05-23,2025-07-06,paid,11519.58,7003.42,4516.16,3447.63,1.00,39.20,1723.82,0.00,0.00,,,,26 Jul 2025,1254360000026125286,1,12826.92,CHECK,2025-07-26
,,GLASER STONE,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,9944,2025-05-23,2025-07-08,void,1499.94,625.44,874.50,874.50,1.00,,437.25,1569.77,,69.83,,,,1254360000026125156,0,0.00,,
EST-7313,2026-07-13,SCHWARTZ BROTHERS MASONRY,MONTGOMERY MORGAN,599.97,invoiced,1254360000026085019,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9943,2025-05-23,2025-07-11,paid,599.97,356.72,210.83,121.24,1.00,35.14,60.62,0.00,27.00,,,,09 Jun 2025,1254360000026125040,1,648.40,AUTHORIZE.NET,2025-06-09
EST-7299,2026-07-13,IVERS CONSTRUCTION & CONCRETE,MONTGOMERY MORGAN,5500.00,invoiced,1254360000025983001,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9942,2025-05-21,2025-06-20,paid,5500.00,5144.83,80.17,-703.78,1.00,1.46,-351.89,0.00,247.50,,,,02 Jun 2025,1254360000026104750,1,5500.00,PayPal,2025-06-02
EST-7301,2026-07-13,WATKINS CONCRETE,RICHARD GRIFFIN,179.98,invoiced,1254360000025977031,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9941,2025-05-21,2025-06-20,paid,179.98,53.23,126.75,110.78,1.30,61.55,55.39,0.00,0.00,,,,01 Jul 2025,1254360000026104637,1,211.79,CHECK,2025-07-01
EST-7279,2026-07-13,BLACKMON CONCRETE & FOUNDATION INC,RICHARD GRIFFIN,1177.14,invoiced,1254360000025795001,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9940,2025-05-19,2025-06-22,paid,1089.44,423.50,602.87,501.87,1.30,44.78,250.93,0.00,49.02,,,,,1254360000026091712,1,1261.38,AUTHORIZE.NET,2026-02-23
EST-7307,2026-07-13,J & S FLATWORK,ROSS HAISLER,79.99,invoiced,1254360000026018017,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9939,2025-05-19,2025-06-18,paid,79.99,15.58,59.41,56.14,1.30,68.43,28.07,0.00,3.60,,,,02 Jun 2025,1254360000026091457,1,100.04,AUTHORIZE.NET,2025-06-02
EST-7311,2026-07-13,NARANJO CIVIL,ROSS HAISLER,2763.51,invoiced,1254360000026044057,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9938,2025-05-16,2025-06-15,paid,2763.51,1178.05,1438.30,1149.69,1.30,40.78,574.84,0.00,124.36,,,,16 May 2025,1254360000026091225,1,2943.22,AUTHORIZE.NET,2025-05-16
EST-7310,2026-07-13,DEVLIN CONTRACTING,ROSS HAISLER,599.94,invoiced,1254360000026044039,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9937,2025-05-16,2025-06-15,paid,599.94,200.59,367.18,312.18,1.30,51.17,156.09,0.00,27.00,,,,07 Jul 2025,1254360000026091104,1,643.44,AUTHORIZE.NET,2025-07-07
EST-7309,2026-07-13,CAMPS CONTRACTORS LLC,ROSS HAISLER,1799.64,invoiced,1254360000026044019,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9936,2025-05-16,2025-06-15,paid,1799.64,934.24,865.40,597.13,1.30,33.18,298.56,0.00,0.00,,,,24 Jun 2025,1254360000026091003,1,1988.42,CHECK,2025-06-24
EST-7308,2026-07-13,ZAXIS CONTRACTING,ROSS HAISLER,651.23,invoiced,1254360000026044001,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9935,2025-05-16,2025-06-15,paid,599.94,209.00,355.94,307.24,1.30,49.88,153.62,0.00,27.00,,,,16 May 2025,1254360000026086749,1,699.95,AUTHORIZE.NET,2025-05-16
EST-7306,2026-07-13,DIAL TILE,RICHARD GRIFFIN,524.48,invoiced,1254360000026019019,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9934,2025-05-16,2025-07-07,paid,499.50,237.50,232.54,180.27,1.30,34.69,90.14,0.00,22.48,,,,01 Aug 2025,1254360000026086720,1,589.30,AUTHORIZE.NET,2025-08-01
EST-7305,2026-07-13,F & J DEMOLITION INC.,ROSS HAISLER,1102.46,invoiced,1254360000026018001,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9933,2025-05-16,2025-06-15,paid,999.96,443.98,555.98,422.79,1.30,42.28,211.39,0.00,0.00,,,,16 Jun 2025,1254360000026086626,1,1171.08,CHECK,2025-06-16
,,K & K CONSTRUCTION SUPPLY,RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,9932,2025-05-16,2025-07-11,paid,1999.50,1226.50,662.22,357.07,1.30,,178.54,0.00,89.98,216.07,,,,1254360000026086482,1,2215.57,AUTHORIZE.NET,2025-07-11
EST-7302,2026-07-13,GUTIERREZ MASONRY,RICHARD GRIFFIN,899.70,invoiced,1254360000025977049,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9931,2025-05-16,2025-06-15,paid,899.70,228.80,623.54,567.77,1.30,62.34,283.89,0.00,40.49,,,,16 May 2025,1254360000026086199,1,947.13,AUTHORIZE.NET,2025-05-16
,,GARAY'S CONCRETE LLC,RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,9930,2025-05-16,2025-06-29,paid,999.66,392.94,552.25,455.85,1.30,,227.93,0.00,44.98,89.83,,,,1254360000026070971,1,1089.49,AUTHORIZE.NET,2025-10-01
,,CLINT'S CONCRETE WORKS,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,9929,2025-05-16,2025-06-15,overdue,3199.60,2800.00,399.60,399.60,1.00,12.49,199.80,3806.79,0.00,343.22,,,,1254360000026070831,0,0.00,,
EST-7303,2026-07-13,GUSTAFSON EXCAVATING,ROSS HAISLER,2800.00,invoiced,1254360000025980005,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9928,2025-05-13,2025-06-12,paid,2800.00,1959.65,840.35,744.96,1.30,26.61,372.48,0.00,0.00,,,,09 Aug 2025,1254360000025993024,1,2800.00,CHECK,2025-08-09
